,Modelo,ON
0,ACCESS-CM2,5.02936
1,ACCESS-ESM1-5,4.26684
2,BCC-CSM2-MR,3.9319
3,CAMS-CSM1-0,2.73422
4,CanESM5,6.46584
5,CESM2_,4.83703
6,CESM2-WACCM,4.80975
7,CMCC-CM2-SR5,4.57775
8,CNRM-CM6-1,5.0984
9,CNRM-ESM2-1,4.67912
10,EC-Earth3,5.29939
11,FGOALS-g3,3.32647
12,HadGEM3-GC31-LL,5.83981
13,HadGEM3-GC31-MM,4.29172
14,IITM-ESM,3.26495
15,INM-CM4-8,3.41011
16,INM-CM5-0,3.27136
17,KACE-1-0-G,5.01315
18,MIROC6,3.49967
19,MIROC-ES2L,3.71774
20,MPI-ESM1-2-HR,3.50283
21,MPI-ESM1-2-LR,3.55152
22,MRI-ESM2-0,3.99119
23,NESM3,4.23081
24,NorESM2-LM,3.46241
25,NorESM2-MM,3.52003
26,TaiESM1,5.29163
27,UKESM1-0-LL,6.21947
